,text,label
0,오늘의 시사키워드444 마이너스 금리 Negative,IT
1,집값 상승의 키워드는 하락,IT
2,블로그 방문객증가 키워드 작성법,IT
3,아이투자 화제의 신간’ 투자의 패러다임을 바꾸는 키워드,IT
4,네이버인플루언서 키워드챌린지 맞팬확인하는방법,IT
5,키워드로 보는 청·정 창업 초기 자금 걱정을 덜어주는,IT
6,블로그 운영방법 온라인건물주 키워드 1위,IT
7,실시간 키워드 알림을 받고 싶은가요feat딸람앱,IT
8,핵심 연관키워드로 알아보는 국민연금 물가상승률 연금맞벌이,IT
9,신개념 키워드 알람 어플 딸람DALARM CBT 리뷰,IT
10,CPU 성능순위 게임용 데스크톱 AMD vs 인텔 고민 해결해 줌,IT
11,아이폰 CPU고장이라는데 수리되나요,IT
12,오래된 노트북 CPU 교체 및 총 업그레이드 비용,IT
13,CPU 인텔 i39100F 사용해보니,IT
14,라이젠 3800X 열을 잡아줄 써모랩 트리니티 화이트 CPU 쿨러,IT
15,16코어 칩렛을 이용한 96코어 CPU,IT
16,64코어 128스레드 괴물 CPU 출시 AMD 라이젠 스레드리퍼,IT
17,컴퓨터 cpu 사용량 줄이기 방법 알아보자,IT
18,AMD 라이젠3 3300X 및 3100 리뷰 요약 가성비 게이밍CPU의,IT
19,쿼드코어 CPU를 장착한 인강용 롤 컴퓨터,IT
20,i99900KF  RTX 2080SUPER 인텔 최고사양 조립PC,IT
21,CPU 성능순위 게임용 데스크톱 AMD vs 인텔 고민 해결해 줌,IT
22,인텔 i9 9900K vs AMD 라이젠 3800X 실사용자의 성능 비교,IT
23,공유기가 가성비까지 인텔 칩셋 탑재한 ipTIME AX3004ITL 리뷰,IT
24,CPU 인텔 i39100F 사용해보니,IT
25,인텔 i9 9900KF 장착 하이엔드 영상편집 컴퓨터,IT
26,재택근무 PC 조립 시 CPU는 AMD or 인텔 뭐가 좋을까,IT
27,2019년 4분기 실적을 발표한 인텔  역대 최대의 실적을 거두다,IT
28,인텔 i7 9700  RTX2060s 조합의 인생 게임용 조립PC,IT
29,최저가 인텔 9세대 시스템을 장만해 보자 ECS H310CH5M2DV,IT
30,NT530XBBK14W 429000원 141 셀러론 N4000 GIGA WiFi 탑재,IT
31,제천컴퓨터 데스크탑 8세대 셀러론 G4900 가정용,IT
32,셀러론 3865U 삼성 노트북 5 NT550EBZAD1A 가격이,IT
33,인텔 10세대 코멧레이크 i5셀러론까지의 상세스펙 유출,IT
34,삼성 셀러론 올인원 PC DM500A2M SSD 교체 작업기,IT
35,GTA 5 셀러론으로 GTA 5 플레이 하기,IT
36,레노버 V330 10TSA002KR 셀러론 J4005 WIN미포함 4GB 128GB,IT
37,LG전자 일체형PC 22VD280LX26K 셀러론 N4100 DDR4 4GB 54,IT
38,인텔 이슈템 셀러론 G3930  카비레이크  정품,IT
39,스톰북 14 아폴로 셀러론 N3350 358cm 아이뮤즈,IT
40,인텔 펜티엄 골드G5420 저렴한 사무용 조립컴퓨터,IT
41,인텔 펜티엄 G4560 교체 후기,IT
